dataset,sari_maccs,sari_morgan,sari_descs
CHEMBL2034_Ki,0.3448949476082196,0.29698572610501234,0.38299112177258754
CHEMBL219_Ki,0.0856201415443492,0.1359093738925497,0.06607922201329561
CHEMBL2147_Ki,0.01580400061305963,0.08085517711029179,0.00032448888722863344
CHEMBL236_Ki,0.02298055953286561,0.06299442295499966,0.048977047489861834
CHEMBL3979_EC50,0.1258409301827057,0.07372749272306252,0.04777187685370618
CHEMBL2835_Ki,0.00023584008995911494,1.1358487698211809e-05,0.4314601252574358
CHEMBL264_Ki,0.11801876573077828,0.2148544163145026,0.10744413376479008
CHEMBL238_Ki,0.3338557263822279,0.21157380926016833,0.008837356476635987
CHEMBL1871_Ki,0.39665725558981674,0.27909478528377296,0.20151671110900488
CHEMBL2971_Ki,0.014115908675119465,0.005420765481379159,0.13982988957713025
CHEMBL233_Ki,0.0398399718236946,0.08766193426539018,0.031833419666839724
CHEMBL262_Ki,0.2481800114940352,0.14575843968772634,0.34833482157944656
CHEMBL287_Ki,0.23715053520573595,0.08705541273403784,0.2079688972770333
CHEMBL4005_Ki,0.15539470233765212,0.1786935321253246,0.4027672545855306
CHEMBL4203_Ki,0.32423281919351155,0.35659751845241716,0.3652420190460799
CHEMBL214_Ki,0.09484540122045815,0.18386959372863648,0.06278347615777594
CHEMBL237_Ki,0.01908218312287016,0.02995829849936642,0.022908141996398748
CHEMBL218_EC50,0.23240890515339419,0.15413624290599642,0.33413116860041375
CHEMBL4792_Ki,0.018420888310678323,0.05569488529465393,0.19021105361640583
CHEMBL228_Ki,0.24776741275091038,0.1910008713872185,0.11440597052368069
CHEMBL231_Ki,0.10275736592149944,0.21634174872359768,0.1567344718495312
CHEMBL204_Ki,0.011383804081504197,0.038032792949743564,0.004549486322699204
CHEMBL4616_EC50,0.07290403743857563,0.060389945862456045,0.07224318208846978
CHEMBL239_EC50,0.16049618525646503,0.05282630590877595,0.08514122161641731
CHEMBL244_Ki,0.0027382853536455625,0.06133002902764095,0.0012369984419796421
CHEMBL237_EC50,0.007470875509212742,0.003207375803375011,0.03636027128214205
CHEMBL2047_EC50,0.36728014316092716,0.24239530976984686,0.434773171779326
CHEMBL1862_Ki,0.11642187360725811,0.011756808586975353,0.023308260408874223
CHEMBL234_Ki,0.0778308309377984,0.23222964388333167,0.05883252327282451
CHEMBL235_EC50,0.18155322258320608,0.09493682224034075,0.09652815999901157
